Q189599	基思·理查兹
Q1701025	約翰·麥克埃尼
Q273468	布蘭琪·賓利
Q496826	喬治·希廉亞德
Q2808	艾爾頓·約翰
Q1174489	大衛·弗內甚
Q3788199	米凱萊·希克斯
Q182655	罗德·斯图尔特
Q259993	雷切爾·亨特
Q180975	安德鲁·劳埃德·韦伯
Q151814	莎拉·布萊曼
Q253192	辛西娅·列侬
Q272581	凱瑟琳·詹金斯
Q4757751	安德魯·列維塔斯
Q4573	肖恩·康纳利
Q238871	戴安·施蘭杜
Q1649757	艾琳·奧肖内西
Q202765	凱特·溫斯蕾
Q223233	山姆·曼德斯
Q442991	奥莉维亚·哈里森
Q179496	瑪格麗特·萊頓
Q374045	劳伦斯·哈维
Q9204	克利夫·史戴普·路易斯
Q465594	海伦·乔依·戴维德曼
Q38281	第十二代貝德福德公爵黑斯廷斯·羅素
Q64683649	貝德福德公爵夫人路易莎·羅素
Q206856	安吉拉·蘭斯伯里
Q3376879	彼得·肖
Q5383	大卫·鲍伊
Q256531	伊曼
Q22704341	珍·勒奇
Q233009	埃尔莎·兰彻斯特
Q55264	查尔斯·劳顿
Q332347	約翰·普羅富莫
Q437157	瓦莱丽·霍布森
Q313462	約瑟夫·摩根
Q534234	波西亞·懷特
Q331657	丹尼尔·查托
Q1040807	薩拉·查托女勳爵
Q332400	奧斯瓦爾德·莫斯利
Q533649	辛西婭·寇松女勳爵
Q313727	勞勃·蕭
Q264759	玛丽·乌尔
Q311944	祖魯·麥金泰爾
Q235323	泰倫·泰瑞爾
Q332377	約翰·史密斯
Q1331318	吉爾摩希爾的史密斯男爵夫人伊麗莎白·史密斯
Q4708171	艾拉納·史都華
Q332881	乔纳森·艾特肯
Q5363418	伊麗莎白·里斯·威廉斯
Q195828	米兰达·莱森
Q2915562	雷薩·賈費里
Q395205	休姆·克羅寧
Q210059	尼爾·蓋曼
Q240377	阿曼达·帕尔默
Q208026	湯姆·哈迪
Q441078	夏洛特·雷麗
Q228888	杰奎琳·杜·普蕾
Q152768	丹尼爾·巴倫博伊姆
Q175571	吉兒·艾爾蘭
Q313023	戴维·麦卡勒姆
Q302244	傑克·德羅米
Q234182	夏雅雯
Q310150	斯图尔特·格兰杰 (演员)
Q107656	珍·西蒙絲
Q272613	比利·懷特勞
Q930691	彼得·沃恩
Q177984	彼得·塞勒斯
Q233837	布里特·艾克拉诺
Q230035	瓊安·普洛萊特
Q55245	劳伦斯·奥利维尔
Q332323	賀維
Q1251189	艾德拿高女男爵埃爾斯佩思·豪
Q192	戴维·卡梅伦
Q2636948	謝曼芙
Q328424	小约翰·保罗·盖蒂
Q500157	塔丽莎·波尔
Q230958	瑪麗·奧白朗
Q55221	亚历山大·科达
Q230594	瑪麗·霍普金
Q505994	托尼·维斯康蒂
Q201976	卡羅琳·古道爾
Q1342731	尼可拉·皮科里尼
Q180589	鮑里斯·約翰遜
Q64732854	凱莉·西蒙茲
Q193357	達夫妮·莫里哀
Q719369	布朗寧
Q180861	罗杰·沃特斯
Q6303714	朱迪思·特里姆
Q331287	第九代斯宾塞伯爵查尔斯
Q6370055	凱倫·戈登
Q65875038	阿莱格拉·莫斯廷-欧文
Q1068279	潔奇·愛因斯萊
Q269153	姬·簡杜
Q172653	瑪姬·史密芙
Q691648	罗伯特·斯蒂芬斯
Q2124432	莫林·斯塔基·泰格特
Q230308	艾蜜莉·莫特
Q350424	亚历桑德罗·尼沃拉
Q6807424	吉姆·瑟普雷普顿
Q313841	约翰·奥斯本
Q332897	莫里斯·麥美倫
Q6376211	凯瑟琳·麦克米伦
Q313627	詭計
Q391536	卡门·艾乔戈
Q210669	肯·福勒特
Q660827	芭芭拉‧哈伯德
Q332956	哈罗德·尼科尔森
Q235505	薇塔·薩克維爾-維斯特
Q233457	弗朗西斯·德·拉·图瓦
Q138158	湯姆·凱賓斯基
Q332442	第一代帕斯菲爾德男爵悉尼·韋伯
Q242666	贝特丽丝·韦伯
Q313752	迈克尔王子
Q93535	肯特迈克尔王妃殿下
Q181	吉米·威爾斯
Q21476704	克里斯汀·罗汉
Q231637	阿斯玛·阿萨德
Q44329	巴沙尔·阿萨德
Q272619	流線胖小子
Q2374832	佐伊·球
Q233265	羅勃特·白朗寧
Q228494	伊丽莎白·巴雷特·勃朗宁
Q196055	愛德華·詹姆斯
Q527420	蒂莉·洛施
Q234109	芭芭拉·赫普沃斯
Q281637	本·尼科尔森
Q332493	歐思邦
Q5478881	法蘭西絲·奧斯本
Q182589	威廉·莫里斯
Q269360	珍·莫里斯
Q195013	南希·阿斯特，阿斯特子爵夫人
Q7344895	羅伯特·古爾德·蕭二世
Q272855	石黑一雄
Q41621995	劳娜·麦克杜格尔
Q27431355	米舍利娜·罗奎布鲁尼
Q234171	莉莲·梅·戴维斯
Q361261	貝蒂爾親王
Q36105	查尔斯·布朗森
Q6763940	瑪麗娜·惠勒
Q332969	约翰·布拉伯恩
Q336691	第二代缅甸的蒙巴顿女伯爵帕特里西娅·纳奇布尔
Q1275	格拉德温·杰布
Q18527366	辛西娅·杰布
Q313047	丹荷·艾略
Q269872	維珍妮·麥簡娜
Q332419	邁克爾·富特
Q6192780	吉尔·克雷吉
Q204426	珍·愛舍
Q463132	傑洛·史卡夫
Q311165	亚历山大·希迪格
Q231576	娜娜·维西特
Q2669959	安吉·鮑伊
Q332696	弗吉尼亚·伯顿利
Q264477	彼得·博頓利
Q42	道格拉斯·亞當斯
Q14623681	简·贝尔森
Q2619726	华尔道夫·阿斯特，阿斯特三世子爵
Q272642	蔣黛思
Q7358432	羅格·豪威爾
Q310343	達德利·摩爾
Q239818	塔斯黛·韋德
Q332412	托尼·本恩
Q5044979	卡洛琳·本恩
Q183105	伦道夫·丘吉尔
Q2723519	帕梅拉·哈里曼
Q231111	瑪麗·李奇
Q14837	路易斯·李奇
Q332813	詹姆斯·汉密尔顿
Q7367231	罗莎琳德·汉密尔顿
Q203129	鄧肯·桑斯
Q5271122	黛安娜·丘吉尔
Q209107	克萊爾·霍爾曼
Q5919448	霍華德·戴維斯 (導演)
Q7324974	理查德·克倫威爾
Q206677	韦恩·布里奇
Q2451952	弗兰奇·桑福德
Q206922	安迪·瑟克斯
Q6681583	劳瑞尼·阿什博内
Q200721	菲利普·格伦尼斯特
Q2900069	贝丝·戈达德
Q13564310	凱特·加維
Q229920	派西·肯塞特
Q216708	連恩·蓋勒格
Q210741	埃里克·艾德尔
Q6708301	琳恩·阿什利
Q300004	菲利浦·戴維斯
Q584062	麥維爾
Q462574	戴安娜·米特福德
Q275865	卡米爾·科杜里
Q5112369	克里斯多福·福爾福德
Q327032	貝弗利·克羅斯
Q229440	妮歌·雪莉頓
Q567830	哈利·哈姆林
Q299302	麥可·高福
Q3181111	安內克·威爾斯
Q3182465	约翰·斯基平
Q175062	鲁伯特·山德斯
Q3237809	莉波蒂·羅斯
Q230744	安娜·溫特
Q2195431	大衛·沙佛
Q348093	呂西安·巴拉德
Q234179	利百加·布鲁克斯
Q927771	羅斯·坎普
Q234293	奥丽维娅·赫西
Q2549389	大衛·葛倫·艾斯利
Q55234	麥可·鮑爾
Q166887	黛瑪·史娟梅嘉
Q347879	瓦妮莎·雷德格雷夫
Q311716	弗蘭科·尼羅
Q309980	愛德華·福克斯
Q447160	乔安娜·大卫
Q231310	海倫·邁克雷
Q342533	達米安·路易斯
Q333617	莫里斯·寶咸·卡達
Q2527461	海伦·维奥莱特·伯翰·卡特
Q333214	第九代巴克盧公爵約翰·史考特
Q6152730	巴克盧公爵夫人簡·史考特
Q508452	埃里克·安布勒
Q370188	琼·哈里森
Q514998	阿丁頓
Q236469	希尔达·杜利特尔
Q1181118	狄恩·保羅·馬丁
Q16152162	維多利亞·洛克伍德
Q1151622	布施明
Q55720	莎拉·佛格森
Q153330	安德魯王子
Q230832	佩吉·阿什克羅福特
Q1374545	露林頓的哈欽森男爵傑里米·哈欽森
Q367073	嘉奴·基士
Q436164	簡·默芬
Q310217	大衛·漢明斯
Q449616	盖尔·亨尼卡特
Q3048766	吉尔·贝内特
Q197894	彭德森
Q75357575	羅斯·帕特森
Q333376	瓦尔特·朗西曼，第一代多克斯福德的朗西曼子爵
Q5761464	希尔达·朗西曼，多克斯福德的朗西曼子爵夫人
Q228584	斯维特兰娜·阿利卢耶娃
Q4178491	尤里·日丹诺夫
Q309715	羅蘭·佐夫
Q445808	简·拉波泰尔
Q229760	瑞塔·奥拉
Q2388576	塔伊加·維迪提
Q233516	路易斯公主
Q332552	第一代法夫公爵亚历山大·达夫
Q58444	連恩·尼遜
Q212545	娜塔莎·李察遜
Q22327217	内德·罗克诺尔
Q208590	克莉斯汀·史考特·湯瑪斯
Q16193278	法蘭索瓦·奧利維納
Q372217	爱斯里．白兰琪
Q157322	罗曼·加里
Q333250	雪莉·威廉斯
Q345641	伯纳德·威廉姆斯
Q173158	本·金斯利
Q5219229	丹妮拉·拉文达
Q313489	杰弗里·阿彻
Q3296137	瑪麗·阿徹
Q229651	卡雅·斯考达里奥
Q817734	本杰明·沃克
Q508525	索梅斯男爵夫人瑪麗·索梅斯
Q336050	克里斯托弗·索姆斯
Q1344534	羅伯特·沃德斯
Q229442	崔姬
Q6519623	李·勞森
Q234131	裘莉·李察遜
Q1473065	蒂姆·貝文
Q227142	柔伊·瓦娜梅克
Q5528471	高恩·格兰杰
Q230115	桑雅·沃格爾
Q5230330	戴維·福爾摩斯
Q229716	露露·肯尼迪·凯恩斯
Q296876	莫里斯·吉布
Q584500	卢多维奇·肯尼迪
Q266166	莫伊拉·希勒
Q231163	奧莉花·威廉士
Q7320263	雷斯漢·史東
Q51541	尼古拉斯·罗伊格
Q253467	泰莉莎·拉塞尔
Q240573	蘇菲·特納
Q191088	喬·強納斯
Q508439	米克·佛利特伍德
Q776435	珍妮·伯伊德
Q258393	吉尔·埃斯蒙德
Q52207	克萊兒·湯瑪琳
Q506231	迈克尔·弗莱恩
Q356294	查理·杭南
Q450634	凱薩琳·湯
Q214381	卢西娅·莫侯利
Q160448	拉斯洛·莫何伊-諾迪
Q229184	莉莉·柯林斯
Q21872603	查利·麥克道維爾
Q298243	約翰·漢納
Q6205954	乔安娜·罗斯
Q241966	埃伦·特里
Q183245	乔治·弗雷德里克·沃茨
Q348952	亞當·坎貝爾
Q231006	杰玛·梅斯
Q310375	昆瑙·纳亚尔
Q3874276	内娅·卡普尔
Q232465	皮帕·米德爾頓
Q16215416	詹姆斯·馬修斯 (賽車手)
Q230383	凱莉·麥唐納
Q2894964	道吉·佩恩
Q313042	史提芬·里亞
Q5289582	多勒丝·普赖斯
Q58801	康拉德.維德
Q1555393	古西·霍尔
Q237778	仙·菲利普斯
Q103876	彼得·奧圖
Q240485	凯莉·柯塔娜
Q311970	拜仁·麥法頓
Q234778	張曼玉
Q550717	奥利维耶·阿萨亚斯
Q129429	费雯·丽
Q234195	蘿絲瑪莉·哈里斯
Q6231502	梅特河
Q230534	丽贝卡·豪尔
Q21713391	摩根·斯佩克特
Q377638	尼爾·弗格森
Q214475	阿亞安·希爾西·阿里
Q362500	傑瑞德·哈里斯
Q213257	艾米丽雅·福克斯
Q235521	艾莉絲
Q335091	亚力山大·坎布里奇，第一代阿斯隆伯爵
Q358421	湯姆·貝克
Q377450	艾德里安娜·科里
Q1161698	丹尼·麥斯
Q372947	雷·史蒂文森
Q7383000	露丝·格梅尔
Q243049	瑪麗-珊圖·米勒
Q381700	帕夫諾斯
Q237645	苏珊·乔治
Q608022	西蒙·麥考金戴爾
Q387434	葛瑞格·懷斯
Q168724	愛瑪·湯普森
Q61260	古斯塔法·格林德根斯
Q7493353	谢尔比·布莱恩
Q235622	克萊爾·布鲁姆
Q273215	洛·史泰格
Q359210	魯伯·潘瑞-瓊斯
Q541330	德乌拉·基尔万
Q52411	湯尼·理查森
Q357607	基特·哈靈頓
Q461132	罗丝·莱斯利
Q369627	彼得·阿特金斯
Q336163	格林菲爾德
Q383829	伊丽莎白·科腾
Q1072211	何伯
Q367629	皮特·艾甘
Q1541140	迈拉·弗朗西斯
Q352846	比爾·肯賴特
Q4770443	阿努什卡·汉佩
Q242707	保羅·彼特尼
Q103343	珍妮佛·康納莉
Q212873	珍·柏金
Q111074	约翰·巴瑞
Q236911	菲利帕
Q201575	若昂一世
Q55249	肯·罗素
Q7498688	雪莉·安·羅素
Q380608	保罗·威廉·斯科特·安德森
Q170576	米拉·乔沃维奇
Q233913	玛丽公主 (哈伍德伯爵夫人)
Q2653986	亨利·拉塞尔斯
Q237290	琦莉·霍斯
Q314954	馬修·麥迪恩
Q310930	傑克·達文波特
Q5860905	米歇尔·戈麦兹
Q356173	乔治·金雀花，第一代克拉伦斯公爵
Q436627	克拉倫斯公爵夫人伊莎貝拉·內維爾
Q218091	席尔
Q60036	海迪·克林
Q388204	勞勃·葛林尼斯特
Q2357992	阿曼达·莱德曼
Q388557	德克斯特·弗萊徹
Q5210908	達莉亞·伊貝爾哈烏普塔伊特
Q235665	卡罗林·兰姆女爵
Q312567	威廉·蘭姆，第二代墨爾本子爵
Q212772	雪莉·柯爾
Q133556	艾殊利·高爾
Q229029	譚蒂·紐頓
Q6073899	欧·帕克
Q237602	凯蒂·普莱斯
Q712765	彼得·安德烈
Q187019	菲利普·罗斯
Q55260	大衛·利恩
Q434324	安·托德
Q361536	歐文·提爾
Q2900778	斯薇斯特·L·唐兹尔
Q236678	嘉芙蓮
Q158258	愛德華親王
Q241584	告羅士打公爵夫人比哲特
Q170294	理察王子
Q380884	科林·雷德格雷夫
Q952740	基卡·马卡姆
Q371430	伊恩·葛倫
Q265452	苏珊娜·哈克
Q234679	夏綠蒂·蘭普林
Q104326	让-米歇尔·雅尔
Q380229	安東尼·畢佛
Q606913	阿尔忒弥斯·库珀
Q56005	雷利·史考特
Q457736	基亞尼拿·法西歐
Q359665	戴维·沃廉姆斯
Q239828	勞拉·斯通
Q242656	玛德琳·卡罗尔
Q323166	斯特林·海登
Q355049	欧文·约曼
Q436620	露茜·戴维斯
Q6616173	威廉·韋斯利·彼得斯
Q346432	约翰·巴比罗利
Q3308085	伊芙琳·罗斯威尔
Q58735	莉莉·艾倫
Q391359	大衛·哈爾伯
Q58085	拉多斯瓦夫·西科尔斯基
Q233479	安妮·艾波鮑姆
Q333468	羅伯特·麥克斯韋
Q14559709	伊利莎白·麦克斯韦
Q368493	西蒙·柯蒂斯
Q233868	伊莉莎白·麥戈文
Q371860	加布瑞拉·王爾德
Q4707550	亞倫·鮑納爾
Q55294	肯尼思·布拉纳
Q219546	亞伯特·芬尼
Q228607	阿努克·艾梅
Q51506	李察·艾登堡祿
Q4419444	希拉·西姆
Q325377	馬金·邁卡倫
Q158067	薇薇安·魏斯伍德
Q314659	魯珀特·弗蘭德
Q261056	艾米·穆林斯
Q238820	塞西莉亞·卡文迪什-本廷克
Q335159	第十四代斯特拉斯莫爾和金霍恩伯爵克勞德·鮑斯-雷昂
Q371406	約翰·賓漢姆
Q75282006	薇洛妮卡·玛丽·邓肯
Q315728	约翰·米尔斯
Q444867	玛丽·海利·贝尔
Q314252	格雷戈里·贝特森
Q180099	瑪格麗特·米德
Q1791673	安德魯·海斯克爾
Q239307	瑪格麗特·德拉布爾
Q1927883	邁克爾·霍洛德
Q573997	安东尼·沙弗尼
Q237843	阿什利·詹森
Q2404450	特伦斯·比斯利
Q317810	杰米·雷德克纳普
Q456386	路易丝·雷德克纳普
Q242484	林恩·方坦
Q1246683	阿爾弗雷德·倫特
Q271998	漢諾威的瑪麗亞-路易絲
Q76908	马克斯·冯·巴登
Q593671	第八代斯賓塞伯爵約翰·斯賓塞
Q256893	法蘭西絲·布奇·卡德
Q49615	羅雲·威廉斯
Q15070096	简·威廉斯
Q271995	蒙巴顿伯爵夫人埃德温娜·蒙巴顿
Q157068	路易斯·蒙巴頓，第一代緬甸的蒙巴頓伯爵
Q212790	大卫·休里斯
Q3403718	莎拉·舒格曼
Q318263	迈克尔·雷德格雷夫
Q289364	蕾切尔·肯普森
Q214601	大衛·田納特
Q264969	乔治娅·莫菲特
Q573709	安东尼·纽利
Q152843	瓊·考琳絲
Q212100	萊斯利·戈弗瑞
Q253520	凱薩琳·麥肯·卡德芙妮
Q317258	尼尔·基诺克
Q336537	格莱尼丝·基诺克
Q451849	艾莉森·鮑爾珊
Q315756	麥克·李
Q440728	艾莉森·斯特德曼
Q345950	特雷沃·伊芙
Q7490149	莎朗·摩翰
Q577052	弗雷德·韦斯特
Q1395551	露絲瑪麗
Q269412	乔治五世
Q76927	瑪麗王后
Q601805	雅斯门·勒·邦
Q436150	西蒙·勒·邦
Q234798	伊美黛·史道頓
Q976829	吉姆·卡特
Q236010	西耶娜·盖尔利
Q3726488	恩佐·科倫蒂
Q349391	海倫·美蘭
Q545573	泰勒·海克福德
Q776860	克萊夫·斯威夫特
Q223091	伊恩·荷姆
Q544165	彭妮露比·韋頓
Q242170	瑪麗·阿德海德·阿瑪莉· 克洛蒂爾德
Q369973	奧地利的約瑟夫·卡爾
Q536552	詹妮·西格芙
Q314550	若弗鲁瓦二世
Q234317	布列塔尼女公爵康斯坦丝
Q590227	爱德华八世
Q209417	華里絲·辛普森
Q235712	瑪格麗特·伯比奇
Q363930	傑佛瑞·伯比奇
Q272161	安妮·伊莎貝拉·米爾班奇
Q5679	拜伦勋爵
Q358427	彼得·戴維森
Q1645478	桑德拉·狄金森
Q214309	森·尼爾
Q1452394	麗莎·哈羅
Q211696	基斯·穆恩
Q537170	金·麥克拉根
Q297071	占美·比爾
Q231249	凱特·瑪拉
Q229230	伊雯·瑞秋·伍德
Q296491	喬治·桑德斯
Q207405	莎莎·嘉寶
Q560286	马克·加蒂斯
Q5981721	伊恩·哈拉德
Q449020	哈蒂·杰克斯
Q139712	约翰·勒·梅西耶尔
Q271054	爱丽丝·埃文斯
Q295974	艾恩·古福特
Q689514	斯圖爾特·霍西
Q444675	肖娜·罗比逊
Q320305	阿瑟·韋爾斯利，第八代威靈頓公爵
Q5271337	威靈頓公爵夫人戴安娜·韋爾斯利
Q269835	艾琳·亞金斯
Q499644	朱利安·格列佛
Q443567	吉尔·加斯科因
Q296028	阿尔弗雷德·莫里纳
Q313885	湯姆·戴利
Q717302	達斯汀·蘭斯·布雷克
Q272068	希瑟·安杰尔
Q3418251	拉爾夫·福布斯
Q336074	克里斯托弗·格斯特
Q106997	潔美·李·寇蒂斯
Q316622	施蒂芬·莫耶
Q199884	安娜·派昆
Q239849	黛安娜·道爾斯
Q1354328	理查德·道森
Q235415	珍妮佛·桑德斯
Q2160202	阿德·埃德蒙森
Q272335	哈泽尔·考特
Q558149	唐·泰勒
Q269309	泰露拉·李利
Q317521	伊隆·马斯克
Q443073	艾瑪·赫明
Q2680	布鲁斯·威利斯
Q287572	蕾貝卡·碧瑾
Q269927	大衛·馬美德
Q278657	A.愛德華·薩瑟蘭
Q152779	露易絲·布魯克絲
Q336261	罗伯特·费洛斯，费洛斯男爵
Q2296963	珍·费洛斯，费洛斯男爵夫人
Q707150	托尼·安霍尔特
Q3536176	特蕾西·蔡尔兹
Q234909	塞西莉亞·佩恩-加波施金
Q94574727	谢尔盖·伊拉里翁诺维奇·加波什金
Q575668	萊昂內爾·阿特威爾
Q6688697	露易丝·克伦威尔·布鲁克斯
Q271590	艾农·斯凯
Q349799	亞當·霍羅維茨
Q442481	凱瑟琳·史考特
Q102527	罗伯特·斯科特
Q6131012	詹姆斯·卡鲁
Q271597	維多利亞·田納特
Q16473	史提夫·馬丁
Q270049	安娜·玛西
Q297384	杰里米·布雷特
Q283703	薩迪·弗羅斯特
Q160432	裘德·洛
Q336084	阿道弗斯王子
Q531889	瑪格麗特·艾薇琳·康布里奇
Q211322	湯姆·威爾金森
Q5271179	黛安娜·哈卡索
Q272194	泰德·休斯
Q133054	希薇亞·普拉斯
Q324572	马克·里朗斯
Q17151600	克萊爾·范卡朋
Q271448	吉恩·马什
Q467601	約翰·帕特維
Q5762528	希拉德·埃爾金斯
Q235299	葛萊黛·古柏
Q7528365	奈威·彼爾遜
Q710142	萊斯里·菲力普
Q269713	安吉拉·斯库拉
Q318734	克勞德·雷恩斯
Q633338	伊莎贝尔·琼斯
Q219237	理查德·艾斯利
Q20859630	麗娜·鮑莎格
Q684978	克萊夫·貝爾
Q255294	凡妮莎·贝尔
Q215820	朱迪斯·克尔
Q1278904	奈傑爾·克奈爾
Q238704	彼得·吉尔摩
Q1319582	尤娜·斯塔布斯
Q682694	茱莉·柯克布賴德
Q4757838	安德魯·麥凱
Q272091	戴安娜·温亚德
Q95143	卡洛·李
Q587339	賽門·詹金斯
Q317337	馬修·古德
Q71127226	索菲·戴莫克
Q236939	克里斯汀·阿曼普
Q2895240	詹姆斯·鲁宾
Q336027	盧嘉
Q3073851	弗洛拉·肖
Q449130	安格哈拉德·瑞丝
Q120225	克里斯托弗·卡赞诺夫
Q268192	苏茜·沃尔夫
Q90005	托托·沃爾夫
Q242924	瑪婷·麥吉俊
Q4741193	杰克·麦克马纳斯
Q2055117	罗宾·萨奇斯
Q314603	休·丹西
Q867813	克莱尔·丹尼斯
Q663875	瑪格麗塔公主 (羅馬尼亞)
Q3029911	罗马尼亚的拉杜亲王
Q5930848	休·弗雷澤
